class_name,subject_name
Basic 1,English Studies
Basic 1,Mathematics
Basic 1,Basic Science and Technology
Basic 1,National Values Education
Basic 1,Cultural and Creative Arts
Basic 1,Christian Religious Studies
Basic 1,History
Basic 1,Yoruba Language
Basic 1,Computer Studies
Basic 1,Physical and Health Education
Basic 2,English Studies
Basic 2,Mathematics
Basic 2,Basic Science and Technology
Basic 2,National Values Education
Basic 2,Cultural and Creative Arts
Basic 2,Christian Religious Studies
Basic 2,History
Basic 2,Yoruba Language
Basic 2,Computer Studies
Basic 2,Physical and Health Education
Basic 3,English Studies
Basic 3,Mathematics
Basic 3,Basic Science and Technology
Basic 3,National Values Education
Basic 3,Cultural and Creative Arts
Basic 3,Christian Religious Studies
Basic 3,History
Basic 3,Yoruba Language
Basic 3,Computer Studies
Basic 3,Physical and Health Education
Basic 4,English Studies
Basic 4,Mathematics
Basic 4,Basic Science and Technology
Basic 4,National Values Education
Basic 4,Cultural and Creative Arts
Basic 4,Christian Religious Studies
Basic 4,History
Basic 4,Yoruba Language
Basic 4,Computer Studies
Basic 4,Physical and Health Education
Basic 5,English Studies
Basic 5,Mathematics
Basic 5,Basic Science and Technology
Basic 5,National Values Education
Basic 5,Cultural and Creative Arts
Basic 5,Christian Religious Studies
Basic 5,History
Basic 5,Yoruba Language
Basic 5,Computer Studies
Basic 5,Physical and Health Education
JSS1,English Studies
JSS1,Mathematics
JSS1,Basic Science
JSS1,Basic Technology
JSS1,Business Studies
JSS1,Civic Education
JSS1,Social Studies
JSS1,Christian Religious Studies
JSS1,Yoruba Language
JSS1,Computer Studies
JSS1,Agricultural Science
JSS1,Home Economics
JSS1,Physical and Health Education
JSS2,English Studies
JSS2,Mathematics
JSS2,Basic Science
JSS2,Basic Technology
JSS2,Business Studies
JSS2,Civic Education
JSS2,Social Studies
JSS2,Christian Religious Studies
JSS2,Yoruba Language
JSS2,Computer Studies
JSS2,Agricultural Science
JSS2,Home Economics
JSS2,Physical and Health Education
JSS3,English Studies
JSS3,Mathematics
JSS3,Basic Science
JSS3,Basic Technology
JSS3,Business Studies
JSS3,Civic Education
JSS3,Social Studies
JSS3,Christian Religious Studies
JSS3,Yoruba Language
JSS3,Computer Studies
JSS3,Agricultural Science
JSS3,Home Economics
JSS3,Physical and Health Education
SS1,English Language
SS1,Mathematics
SS1,Biology
SS1,Chemistry
SS1,Physics
SS1,Economics
SS1,Government
SS1,Literature-in-English
SS1,Christian Religious Studies
SS1,Yoruba Language
SS1,Geography
SS1,Further Mathematics
SS1,Computer Science
SS1,Civic Education
SS2 Science,English Language
SS2 Science,Mathematics
SS2 Science,Biology
SS2 Science,Chemistry
SS2 Science,Physics
SS2 Science,Further Mathematics
SS2 Science,Computer Science
SS2 Science,Civic Education
SS2 Science,Christian Religious Studies
SS2 Science,Yoruba Language
SS3 Science,English Language
SS3 Science,Mathematics
SS3 Science,Biology
SS3 Science,Chemistry
SS3 Science,Physics
SS3 Science,Further Mathematics
SS3 Science,Computer Science
SS3 Science,Civic Education
SS3 Science,Christian Religious Studies
SS3 Science,Yoruba Language
SS2 Arts,English Language
SS2 Arts,Mathematics
SS2 Arts,Literature-in-English
SS2 Arts,Government
SS2 Arts,Economics
SS2 Arts,History
SS2 Arts,Geography
SS2 Arts,Civic Education
SS2 Arts,Christian Religious Studies
SS2 Arts,Yoruba Language
SS3 Arts,English Language
SS3 Arts,Mathematics
SS3 Arts,Literature-in-English
SS3 Arts,Government
SS3 Arts,Economics
SS3 Arts,History
SS3 Arts,Geography
SS3 Arts,Civic Education
SS3 Arts,Christian Religious Studies
SS3 Arts,Yoruba Language
SS2 Commerce,English Language
SS2 Commerce,Mathematics
SS2 Commerce,Economics
SS2 Commerce,Commerce
SS2 Commerce,Accounting
SS2 Commerce,Government
SS2 Commerce,Geography
SS2 Commerce,Civic Education
SS2 Commerce,Christian Religious Studies
SS2 Commerce,Yoruba Language
SS3 Commerce,English Language
SS3 Commerce,Mathematics
SS3 Commerce,Economics
SS3 Commerce,Commerce
SS3 Commerce,Accounting
SS3 Commerce,Government
SS3 Commerce,Geography
SS3 Commerce,Civic Education
SS3 Commerce,Christian Religious Studies
SS3 Commerce,Yoruba Language
